Game Date,Start Time,Diamond,Division,Home Team,Visiting Team
05/05/2014,6:30 PM,NORTH,,,
05/05/2014,8:00 PM,NORTH,,,
05/05/2014,9:30 PM,NORTH,,,
06/05/2014,6:30 PM,SOUTH,C Division,Prime Time,Make it Green Legends
06/05/2014,6:30 PM,NORTH,C Division,A&B Sports,AAAKavtech
06/05/2014,8:00 PM,SOUTH,A Division,Instile Tile,ON Canadians
06/05/2014,8:00 PM,NORTH,B Division,Brown's Martial Arts,The Colts
06/05/2014,9:30 PM,NORTH,C Division,Mark's Mustangs,Kanata Krushers
06/05/2014,9:30 PM,SOUTH,B Division,RBC Lions,Tony Graham Bears
07/05/2014,6:30 PM,SOUTH,B Division,Mattawa,KSC Sportsmen
07/05/2014,6:30 PM,NORTH,B Division,Ironwood,7th Inning Stretchers
07/05/2014,8:00 PM,NORTH,C Division,Frisby Retreads,Longshots
07/05/2014,8:00 PM,SOUTH,A Division,Braves,Dawg Pound
07/05/2014,9:30 PM,NORTH,A Division,Brew Crew,Go Dean Express
07/05/2014,9:30 PM,SOUTH,A Division,Willy's Pizza,Slime
12/05/2014,6:30 PM,NORTH,A Division,Slime,Braves
12/05/2014,8:00 PM,NORTH,B Division,KSC Sportsmen,Brown's Martial Arts
12/05/2014,9:30 PM,NORTH,B Division,Mattawa,Bridlewood Bandits
13/05/2014,6:30 PM,NORTH,C Division,Longshots,Mark's Mustangs
13/05/2014,6:30 PM,SOUTH,C Division,AAAKavtech,Frisby Retreads
13/05/2014,8:00 PM,NORTH,C Division,Make it Green Legends,A&B Sports
13/05/2014,8:00 PM,SOUTH,C Division,Kanata Krushers,Prime Time
13/05/2014,9:30 PM,SOUTH,,,
13/05/2014,9:30 PM,NORTH,,,
14/05/2014,6:30 PM,SOUTH,B Division,7th Inning Stretchers,Mattawa
14/05/2014,6:30 PM,NORTH,B Division,The Colts,RBC Lions
14/05/2014,8:00 PM,SOUTH,A Division,Dawg Pound,Brew Crew
14/05/2014,8:00 PM,SOUTH,A Division,ON Canadians,Willy's Pizza
14/05/2014,9:30 PM,SOUTH,B Division,Bridlewood Bandits,Tony Graham Bears
14/05/2014,9:30 PM,NORTH,A Division,Go Dean Express,Instile Tile
19/05/2014,6:30 PM,NORTH,,,
19/05/2014,8:00 PM,NORTH,,,
19/05/2014,9:30 PM,NORTH,,,
20/05/2014,6:30 PM,NORTH,C Division,Mark's Mustangs,AAAKavtech
20/05/2014,6:30 PM,SOUTH,B Division,Brown's Martial Arts,Bridlewood Bandits
20/05/2014,8:00 PM,SOUTH,A Division,Brew Crew,Slime
20/05/2014,8:00 PM,NORTH,A Division,Dawg Pound,Go Dean Express
20/05/2014,9:30 PM,SOUTH,A Division,Willy's Pizza,Instile Tile
20/05/2014,9:30 PM,NORTH,B Division,RBC Lions,KSC Sportsmen
21/05/2014,6:30 PM,NORTH,B Division,Tony Graham Bears,7th Inning Stretchers
21/05/2014,6:30 PM,SOUTH,B Division,Mattawa,Ironwood
21/05/2014,8:00 PM,NORTH,C Division,Prime Time,Longshots
21/05/2014,8:00 PM,SOUTH,A Division,Braves,ON Canadians
21/05/2014,9:30 PM,NORTH,C Division,Kanata Krushers,Make it Green Legends
21/05/2014,9:30 PM,SOUTH,C Division,Frisby Retreads,A&B Sports
26/05/2014,6:30 PM,NORTH,B Division,Bridlewood Bandits,RBC Lions
26/05/2014,8:00 PM,NORTH,A Division,Instile Tile,Braves
26/05/2014,9:30 PM,NORTH,A Division,Go Dean Express,Willy's Pizza
27/05/2014,6:30 PM,NORTH,C Division,Make it Green Legends,Frisby Retreads
27/05/2014,6:30 PM,SOUTH,C Division,Longshots,Kanata Krushers
27/05/2014,8:00 PM,NORTH,B Division,The Colts,Mattawa
27/05/2014,8:00 PM,SOUTH,B Division,7th Inning Stretchers,Brown's Martial Arts
27/05/2014,9:30 PM,NORTH,,,
27/05/2014,9:30 PM,SOUTH,,,
