Date,Time,Diamond,HomeSeed,VisitSeed,WinnerNext,LoserNext,TournamentID
2014-08-27,6:30,NORTH,2,7,C08,C06,C04
2014-08-27,6:30,SOUTH,4,5,A07,A05,A02
2014-08-27,8:00,NORTH,1,8,C07,C05,C01
2014-08-27,8:00,SOUTH,1,8,A07,A05,A01
2014-08-27,9:30,NORTH,8,9,B05,B06,B01
2014-08-27,9:30,SOUTH,2,7,B09,B06,B02
2014-09-02,6:30,NORTH,3,6,A08,A06,A03
2014-09-02,6:30,SOUTH,4,5,C07,C05,C02
2014-09-02,8:00,NORTH,3,6,C08,C06,C03
2014-09-02,8:00,SOUTH,2,7,A08,A06,A04
2014-09-02,9:30,NORTH,3,6,B09,B08,B03
2014-09-02,9:30,SOUTH,4,5,B10,B07,B04
2014-09-03,6:30,NORTH,,,C10,,C06
2014-09-03,6:30,SOUTH,,,A11,A9,A08
2014-09-03,8:00,NORTH,1,,B10,B07,B05
2014-09-03,8:00,SOUTH,,,C09,,C05
2014-09-03,9:30,NORTH,,,A11,A10,A07
2014-09-03,9:30,SOUTH,,,B08,,B06
2014-09-08,6:30,NORTH,,,C11,C09,C08
2014-09-08,8:00,NORTH,,,A09,,A05
2014-09-08,9:30,NORTH,,,C11,C10,C07
2014-09-09,6:30,NORTH,,,B13,B11,B09
2014-09-09,6:30,SOUTH,,,B13,B12,B10
2014-09-09,8:00,NORTH,,,A10,,A06
2014-09-09,8:00,SOUTH,,,A14,A13,A11
2014-09-09,9:30,NORTH,,,A12,,A09
2014-09-09,9:30,SOUTH,,,C12,,C09
2014-09-10,6:30,NORTH,,,B12,,B08
2014-09-10,6:30,SOUTH,,,B11,,B07
2014-09-10,8:00,NORTH,,,B14,,B11
2014-09-10,8:00,SOUTH,,,C12,,C10
2014-09-10,9:30,NORTH,,,B14,,B12
2014-09-10,9:30,SOUTH,,,A12,,A10
2014-09-15,6:30,NORTH,,,B15,,B14
2014-09-15,8:00,NORTH,,,B16,B15,B13
2014-09-15,9:30,NORTH,,,A13,,A12
2014-09-16,6:30,NORTH,,,C13,,C12
2014-09-16,6:30,SOUTH,,,,,
2014-09-16,8:00,NORTH,,,C14,C13,C11
2014-09-16,8:00,SOUTH,,,B16,,B15
2014-09-16,9:30,NORTH,,,,,
2014-09-16,9:30,SOUTH,,,,,
2014-09-17,6:30,NORTH,,,,,
2014-09-17,6:30,SOUTH,,,C14,,C13
2014-09-17,8:00,NORTH,,,,,
2014-09-17,8:00,SOUTH,,,A14,,A13
2014-09-17,9:30,NORTH,,,,,
2014-09-17,9:30,SOUTH,,,,,
2014-09-22,6:30,NORTH,,,,,
2014-09-22,8:00,NORTH,,,,,
2014-09-22,9:30,NORTH,,,,,
2014-09-23,6:30,NORTH,,,C15,C15,C14
2014-09-23,6:30,SOUTH,,,A15,A15,A14
2014-09-23,8:00,NORTH,,,,,C15
2014-09-23,8:00,SOUTH,,,,,A15
2014-09-23,9:30,NORTH,,,,,
2014-09-23,9:30,SOUTH,,,,,
2014-09-24,6:30,NORTH,,,,,
2014-09-24,6:30,SOUTH,,,B17,B17,B16
2014-09-24,8:00,NORTH,,,,,
2014-09-24,8:00,SOUTH,,,,,B17
2014-09-24,9:30,NORTH,,,,,
2014-09-24,9:30,SOUTH,,,,,
