"Date","Time","Venue","Visitor","Home"
"05/27/2014","4:45 PM","North Diamond","Plagued Thieves","Groundhogs"
"05/27/2014","4:45 PM","South Diamond","Double Diamond","Spacemen"
"05/28/2014","4:45 PM","North Diamond","The Ramblers","Catchers in the Rye"
"05/28/2014","4:45 PM","South Diamond","Woody Bats","Trouble in the Dugout"
"06/03/2014","4:45 PM","North Diamond","Spacemen","Halogen Hooligans"
"06/04/2014","4:45 PM","South Diamond","Trouble in the Dugout","Double Diamond"
"06/05/2014","4:45 PM","North Diamond","Catchers in the Rye","Woody Bats"
"06/05/2014","4:45 PM","South Diamond","Groundhogs","The Ramblers"
"06/10/2014","4:45 PM","South Diamond","Woody Bats","Groundhogs"
"06/11/2014","4:45 PM","North Diamond","Halogen Hooligans","Trouble in the Dugout"
"06/11/2014","4:45 PM","South Diamond","The Ramblers","Plagued Thieves"
"06/12/2014","4:45 PM","North Diamond","Double Diamond","Catchers in the Rye"
"06/17/2014","4:45 PM","North Diamond","Trouble in the Dugout","Spacemen"
"06/17/2014","4:45 PM","South Diamond","Plagued Thieves","Woody Bats"
"06/18/2014","4:45 PM","North Diamond","Catchers in the Rye","Halogen Hooligans"
"06/18/2014","4:45 PM","South Diamond","Groundhogs","Double Diamond"
"06/24/2014","4:45 PM","North Diamond","Woody Bats","The Ramblers"
"06/24/2014","4:45 PM","South Diamond","Halogen Hooligans","Groundhogs"
"06/25/2014","4:45 PM","South Diamond","Spacemen","Catchers in the Rye"
"06/26/2014","4:45 PM","North Diamond","Double Diamond","Plagued Thieves"
"07/02/2014","4:45 PM","North Diamond","Groundhogs","Spacemen"
"07/02/2014","4:45 PM","South Diamond","The Ramblers","Double Diamond"
"07/03/2014","4:45 PM","North Diamond","Catchers in the Rye","Trouble in the Dugout"
"07/03/2014","4:45 PM","South Diamond","Plagued Thieves","Halogen Hooligans"
"07/08/2014","4:45 PM","South Diamond","Double Diamond","Woody Bats"
"07/09/2014","4:45 PM","North Diamond","Halogen Hooligans","The Ramblers"
"07/09/2014","4:45 PM","South Diamond","Spacemen","Plagued Thieves"
"07/10/2014","4:45 PM","North Diamond","Trouble in the Dugout","Groundhogs"
"07/15/2014","4:45 PM","North Diamond","Halogen Hooligans","Double Diamond"
"07/15/2014","4:45 PM","South Diamond","Trouble in the Dugout","The Ramblers"
"07/16/2014","4:45 PM","North Diamond","Catchers in the Rye","Plagued Thieves"
"07/17/2014","4:45 PM","South Diamond","Spacemen","Woody Bats"
"07/22/2014","4:45 PM","South Diamond","Groundhogs","Catchers in the Rye"
"07/23/2014","4:45 PM","South Diamond","Woody Bats","Halogen Hooligans"
"07/24/2014","4:45 PM","North Diamond","Plagued Thieves","Trouble in the Dugout"
"07/24/2014","4:45 PM","South Diamond","The Ramblers","Spacemen"
