Date,Time,Venue,Home,Visitor
05/07/2013,4:45 PM,East,Double Diamond,Trouble in the Dugout
05/07/2013,4:45 PM,West,Woody Bats,Catchers in the Rye
05/07/2013,6:15 PM,East,Beer Feasters,Plagued Thieves
05/07/2013,6:15 PM,West,,
05/08/2013,4:45 PM,East,Softball in Motion,Spacemen
05/08/2013,4:45 PM,West,,
05/08/2013,6:15 PM,East,,
05/08/2013,6:15 PM,West,Transmission Impossible,Groundhogs
05/09/2013,4:45 PM,East,,
05/09/2013,4:45 PM,West,,
05/09/2013,6:15 PM,East,Halogen Hooligans,The Ramblers
05/09/2013,6:15 PM,West,,
05/14/2013,4:45 PM,East,,
05/14/2013,4:45 PM,West,Plagued Thieves,Woody Bats
05/14/2013,6:15 PM,East,,
05/14/2013,6:15 PM,West,Groundhogs,Beer Feasters
05/15/2013,4:45 PM,East,Trouble in the Dugout,Halogen Hooligans
05/15/2013,4:45 PM,West,Catchers in the Rye,Double Diamond
05/15/2013,6:15 PM,East,,
05/15/2013,6:15 PM,West,NAble Bomb Squad,Transmission Impossible
05/16/2013,4:45 PM,East,,
05/16/2013,4:45 PM,West,,
05/16/2013,6:15 PM,East,The Ramblers,Softball in Motion
05/16/2013,6:15 PM,West,,
05/21/2013,4:45 PM,East,,
05/21/2013,4:45 PM,West,Woody Bats,Double Diamond
05/21/2013,6:15 PM,East,,
05/21/2013,6:15 PM,West,Halogen Hooligans,Catchers in the Rye
05/22/2013,4:45 PM,East,Softball in Motion,Trouble in the Dugout
05/22/2013,4:45 PM,West,,
05/22/2013,6:15 PM,East,,
05/22/2013,6:15 PM,West,Beer Feasters,NAble Bomb Squad
05/23/2013,4:45 PM,East,,
05/23/2013,4:45 PM,West,,
05/23/2013,6:15 PM,East,Transmission Impossible,Spacemen
05/23/2013,6:15 PM,West,Plagued Thieves,Groundhogs
05/28/2013,4:45 PM,East,,
05/28/2013,4:45 PM,West,Double Diamond,Halogen Hooligans
05/28/2013,6:15 PM,East,Groundhogs,Woody Bats
