Date,Time,Diamond,HomeSeed,VisitSeed,WinnerNext,LoserNext,TournamentID,
2013-08-13,4:45,WEST,1,3,,,C1,
2013-08-13,4:45,EAST,2,4,,,C2,
2013-08-13,6:15,WEST,,,,,,
2013-08-13,6:15,EAST,,,,,,
2013-08-14,4:45,WEST,,,,,,
2013-08-14,4:45,EAST,,,,,,
2013-08-14,6:15,WEST,1,3,,,B3,
2013-08-14,6:15,EAST,4,5,,,B4,
2013-08-15,4:45,WEST,,,,,,
2013-08-15,4:45,EAST,,,,,,
2013-08-15,6:15,WEST,1,3,,,A1,
2013-08-15,6:15,EAST,2,4,,,A2,
2013-08-20,4:45,WEST,1,2,,,A3,
2013-08-20,4:45,EAST,,,,,,
2013-08-20,6:15,WEST,,,,,,
2013-08-20,6:15,EAST,3,4,,,A4,
2013-08-21,4:45,WEST,1,2,,,C3,
2013-08-21,4:45,EAST,3,4,,,C4,
2013-08-21,6:15,WEST,,,,,,
2013-08-21,6:15,EAST,,,,,,
2013-08-22,4:45,WEST,,,,,,
2013-08-22,4:45,EAST,,,,,,
2013-08-22,6:15,WEST,2,5,,,B5,
2013-08-22,6:15,EAST,3,4,,,B6,
2013-08-27,4:45,WEST,,,,,,
2013-08-27,4:45,EAST,,,,,,
2013-08-27,6:15,WEST,1,5,,,B7,
2013-08-27,6:15,EAST,2,4,,,B8,
2013-08-28,4:45,WEST,1,4,,,C5,
2013-08-28,4:45,EAST,2,3,,,C6,
2013-08-28,6:15,WEST,1,4,,,A5,
2013-08-28,6:15,EAST,2,3,,,A6,
2013-08-29,4:45,WEST,,,,,,
2013-08-29,4:45,EAST,1,2,,,B9,
2013-08-29,6:15,WEST,3,5,,,B10,
2013-08-29,6:15,EAST,,,,,,
2013-09-03,4:45,WEST,,,,,,
2013-09-03,4:45,EAST,,,,,,
2013-09-03,6:15,WEST,1,4,,,B1,
2013-09-03,6:15,EAST,2,3,,,B2,
2013-09-04,4:45,WEST,,,,,,
2013-09-04,4:45,EAST,,,,,,
2013-09-04,6:15,WEST,,,,,,
2013-09-04,6:15,EAST,,,,,,
2013-09-05,4:45,WEST,,,,,,
2013-09-05,4:45,EAST,,,,,,
2013-09-05,6:15,WEST,,,,,,
2013-09-05,6:15,EAST,,,,,,
