Date,Time,Diamond,HomeSeed,VisitSeed,WinnerNext,LoserNext,TournamentID
2012-08-14,4:45,WEST,,,,,
2012-08-14,4:45,EAST,,,,,
2012-08-14,6:15,WEST,,,,,
2012-08-14,6:15,EAST,,,,,
2012-08-15,4:45,WEST,,,,,
2012-08-15,4:45,EAST,,,,,
2012-08-15,6:15,WEST,,,,,
2012-08-15,6:15,EAST,,,,,
2012-08-16,4:45,WEST,,,,,
2012-08-16,4:45,EAST,,,,,
2012-08-16,6:15,WEST,1,3,,,A3
2012-08-16,6:15,EAST,4,5,,,A4
2012-08-21,4:45,WEST,,,,,
2012-08-21,4:45,EAST,,,,,
2012-08-21,6:15,WEST,1,3,,,C3
2012-08-21,6:15,EAST,,,,,
2012-08-22,4:45,WEST,4,5,,,C4
2012-08-22,4:45,EAST,,,,,
2012-08-22,6:15,WEST,2,4,,,A9
2012-08-22,6:15,EAST,1,5,,,A10
2012-08-23,4:45,WEST,1,3,,,B3
2012-08-23,4:45,EAST,4,5,,,B4
2012-08-23,6:15,WEST,,,,,
2012-08-23,6:15,EAST,,,,,
2012-08-28,4:45,WEST,,,,,
2012-08-28,4:45,EAST,,,,,
2012-08-28,6:15,WEST,3,5,,,A5
2012-08-28,6:15,EAST,1,2,,,A6
2012-08-29,4:45,WEST,3,5,,,B5
2012-08-29,4:45,EAST,1,2,,,B6
2012-08-29,6:15,WEST,,,,,
2012-08-29,6:15,EAST,,,,,
2012-08-30,4:45,WEST,,,,,
2012-08-30,4:45,EAST,1,2,,,C6
2012-08-30,6:15,WEST,3,5,,,C5
2012-08-30,6:15,EAST,,,,,
2012-09-04,4:45,WEST,2,5,,,B7
2012-09-04,4:45,EAST,3,4,,,B8
2012-09-04,6:15,WEST,,,,,
2012-09-04,6:15,EAST,,,,,
2012-09-05,4:45,WEST,2,5,,,C7
2012-09-05,4:45,EAST,,,,,
2012-09-05,6:15,WEST,,,,,
2012-09-05,6:15,EAST,3,4,,,C8
2012-09-06,4:45,WEST,,,,,
2012-09-06,4:45,EAST,,,,,
2012-09-06,6:15,WEST,2,5,,,A7
2012-09-06,6:15,EAST,3,4,,,A8
2012-09-11,4:45,WEST,2,4,,,C9
2012-09-11,4:45,EAST,1,5,,,C10
2012-09-11,6:15,WEST,,,,,
2012-09-11,6:15,EAST,,,,,
2012-09-12,4:45,WEST,1,4,,,A1
2012-09-12,4:45,EAST,,,,,
2012-09-12,6:15,WEST,,,,,
2012-09-12,6:15,EAST,2,3,,,A2
2012-09-13,4:45,WEST,2,4,,,B9
2012-09-13,4:45,EAST,1,5,,,B10
2012-09-13,6:15,WEST,,,,,
2012-09-13,6:15,EAST,,,,,
2012-09-18,4:45,WEST,1,4,,,C1
2012-09-18,4:45,EAST,1,4,,,B1
2012-09-18,6:15,WEST,,,,,
2012-09-18,6:15,EAST,,,,,
2012-09-19,4:45,WEST,,,,,
2012-09-19,4:45,EAST,2,3,,,B2
2012-09-19,6:15,WEST,2,3,,,C2
2012-09-19,6:15,EAST,,,,,
2012-09-20,4:45,WEST,,,,,
2012-09-20,4:45,EAST,,,,,
2012-09-20,6:15,WEST,,,,,
2012-09-20,6:15,EAST,,,,,
